route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA8008530210003,9172,DUASN125707F02001-1_305848,"PEMI",0,
DUA8008530210003,9172,DUASN125713F01001-1_305849,"PEMI",0,
DUA8008530210003,9172,DUASN125717F01001-1_305850,"PEMI",0,
DUA8008530210003,9172,DUASN125723F01001-1_305851,"PEMI",0,
DUA8008530210003,9172,DUASN125727F01001-1_305852,"PEMI",0,
DUA8008530210003,9172,DUASN125733F01001-1_305853,"PEMI",0,
DUA8008530210003,9172,DUASN125735F01001-1_305854,"PEMI",0,
DUA8008530210003,9898,DUASN125719F01001-1_305855,"POMA",0,
DUA8008530210003,9893,DUASN125741F01001-1_305856,"POMA",0,
DUA8008530210003,9898,DUASN125709F02001-1_305857,"POMA",0,
DUA8008530210003,9893,DUASN125739F01001-1_305858,"POMA",0,
DUA8008530210003,9893,DUASN125701F01001-1_305859,"POMA",0,
DUA8008530210003,9903,DUASN125749F01001-1_305860,"POMA",0,
DUA8008530210003,9893,DUASN125745F01001-1_305861,"POMA",0,
DUA8008530210003,9893,DUASN125747F01001-1_305862,"POMA",0,
DUA8008530210003,9893,DUASN125743F01001-1_305863,"POMA",0,
DUA8008530210003,9892,DUASN125755F01001-1_305864,"POMA",0,
DUA8008530210003,9892,DUASN125765F01001-1_305865,"POMA",0,
DUA8008530210003,9893,DUASN125737F01001-1_305866,"POMA",0,
DUA8008530210003,9899,DUASN125797F01003-1_305867,"POMA",0,
DUA8008530210003,8831,DUASN125803F01001-1_305868,"POMA",0,
DUA8008530210003,9897,DUASN125791F01001-1_305869,"POMA",0,
DUA8008530210003,9892,DUASN125775F01001-1_305870,"POMA",0,
DUA8008530210003,9892,DUASN125785F01001-1_305871,"POMA",0,
DUA8008530210003,8831,DUASN125805F01001-1_305872,"POMA",0,
DUA8008530210003,9902,DUASN125801F01001-1_305873,"POMA",0,
DUA8008530210003,9898,DUASN125729F01001-1_305874,"POMA",0,
DUA8008530210003,9901,DUASN125799F01003-1_305875,"POMA",0,
DUA8008530210003,8831,DUASN125807F01001-1_305876,"POMA",0,
DUA8008530210003,9900,DUASN125799F01002-1_305877,"POMA",0,
DUA8008530210015,9889,DUASN124613F02001-1_305878,"POVA",0,
DUA8008530210015,9172,DUASN124615F01001-1_305879,"POVA",0,
DUA8008530210015,9889,DUASN124601F01001-1_305880,"POVA",0,
DUA8008530210015,9889,DUASN124603F01001-1_305881,"POVA",0,
DUA8008530210015,9172,DUASN124609F01001-1_305882,"POVA",0,
DUA8008530210015,9916,DUASN124685F03001-1_305883,"POVA",0,
DUA8008530210015,9916,DUASN124679F01001-1_305884,"POVA",0,
DUA8008530210015,9172,DUASN124611F01001-1_305885,"POVA",0,
DUA8008530210015,9916,DUASN124683F01001-1_305886,"POVA",0,
DUA8008530210015,9889,DUASN124607F01001-1_305887,"POVA",0,
DUA8008530210015,9172,DUASN124617F02001-1_305888,"POVA",0,
DUA8008530210015,9889,DUASN124619F01001-1_305889,"POVA",0,
DUA8008530210015,9172,DUASN124621F01001-1_305890,"POVA",0,
DUA8008530210015,9891,DUASN124623F01001-1_305891,"POVA",0,
DUA8008530210015,9891,DUASN124629F01001-1_305892,"POVA",0,
DUA8008530210015,9891,DUASN124627F03001-1_305893,"POVA",0,
DUA8008530210015,9891,DUASN124605F02001-1_305894,"POVA",0,
DUA8008530210015,9891,DUASN124631F01001-1_305895,"POVA",0,
DUA8008530210015,9891,DUASN124625F01001-1_305896,"POVA",0,
DUA8008530210015,9916,DUASN124681F01001-1_305897,"POVA",0,
DUA8008530210015,9172,DUASN124649F01001-1_305898,"PERA",0,
DUA8008530210015,9172,DUASN124643F01001-1_305899,"PERA",0,
DUA8008530210015,9890,DUASN124663F01001-1_305900,"POVA",0,
DUA8008530210015,9890,DUASN124669F01001-1_305901,"POVA",0,
